x,y
0.588161386,0.996801114
0.591346149,0.993616352
0.594516912,0.990445589
0.597673799,0.987288702
0.600816931,0.98414557
0.603946426,0.981016075
0.607062403,0.977900098
0.610164977,0.998200794
0.613254265,0.995080111
0.616330378,0.991972559
0.61939343,0.988878024
0.62244353,0.995222457
0.625480787,0.992141127
0.628505309,0.996203973
0.631517203,0.993138479
0.634516573,0.990085429
0.637503524,0.992979177
0.640478157,0.989942887
0.643440574,0.992093353
0.646390875,0.989074406
0.649329158,0.990701713
0.652255521,0.991930472
0.65517006,0.988935336
0.658072871,0.989856682
0.660964047,0.986879546
0.663843682,0.98755269
0.666711867,0.988013961
0.669568692,0.98506152
0.672414248,0.985350068
0.675248624,0.985484185
0.678071905,0.985483775
0.68088418,0.982563183
0.683685533,0.982451471
0.686476049,0.982234722
0.689255812,0.98192403
0.692024903,0.979035334
0.694783406,0.978647208
0.6975314,0.978182551
0.700268965,0.977648264
0.70299618,0.977050344
0.705713123,0.97639404
0.708419871,0.97568398
0.7111165,0.972848148
0.713803086,0.972095516
0.716479704,0.971296873
0.719146426,0.970455487
0.721803326,0.969574301
0.724450476,0.968655969
0.727087947,0.9677029
0.729715809,0.966717284
0.732334134,0.965701118
0.734942988,0.964656233
0.737542441,0.963584306
0.740132561,0.962486884
0.742713414,0.96136539
0.745285065,0.960221141
0.747847581,0.959055358
0.750401027,0.957869173
0.752945465,0.95666364
0.75548096,0.955439738
0.758007574,0.954198385
0.760525368,0.952940435
0.763034406,0.951666689
0.765534746,0.950377897
0.76802645,0.949074765
0.770509577,0.947757952
0.772984185,0.946428083
0.775450332,0.945085744
0.777908078,0.943731487
0.780357477,0.943637894
0.782798588,0.942244774
0.785231466,0.940841702
0.787656165,0.939429095
0.790072742,0.938007349
0.79248125,0.936576841
0.794881743,0.935137927
0.797274275,0.933690947
0.799658897,0.932236222
0.802035662,0.9319013
0.804404621,0.930419365
0.806765826,0.928930871
0.809119328,0.927436069
0.811465175,0.9259352
0.813803419,0.924428495
0.816134108,0.922916172
0.81845729,0.921398441
0.820773015,0.92090066
0.823081329,0.919362444
0.82538228,0.917819612
0.827675914,0.916272332
0.829962279,0.914720764
0.83224142,0.913165061
0.834513383,0.912564367
0.836778212,0.910991932
0.839035953,0.909415957
0.841286649,0.907836565
0.843530344,0.906253874
0.845767082,0.904667998
0.847996907,0.903980464
0.850219859,0.902380726
0.852435982,0.900778255
0.854645318,0.899173142
0.856847907,0.897565477
0.859043792,0.895955345
0.861233012,0.895193521
0.863415609,0.893571753
0.865591621,0.891947863
0.867761089,0.890321922
0.869924051,0.888693994
0.872080548,0.887064143
0.874230617,0.886237985
0.876374296,0.884598246
0.878511623,0.882956852
0.880642637,0.881313854
0.882767373,0.879669302
0.88488587,0.878793968
0.886998163,0.877140741
0.889104288,0.875486174
0.891204282,0.873830306
0.893298181,0.872173175
0.895386019,0.870514817
0.897467831,0.869588801
0.899543653,0.867922902
0.901613518,0.866255941
0.903677461,0.864587946
0.905735515,0.862918946
0.907787714,0.861953458
0.909834092,0.860277711
0.91187468,0.85860109
0.913909512,0.856923613
0.915938621,0.855245302
0.917962037,0.853566173
0.919979794,0.852559358
0.921991922,0.850874223
0.923998453,0.84918837
0.925999419,0.847501812
0.927994849,0.845814562
0.929984774,0.844775006
0.931969225,0.843082268
0.933948232,0.841388913
0.935921824,0.839694949
0.937890032,0.838000383
0.939852883,0.836305221
0.941810408,0.835230851
